rk,team,str,ofs,dfs,sos
1,Canterbury,0.43,0.21,-0.22,-0.03
2,Waikato,0.32,0.13,-0.19,-0.01
3,Bay of Plenty,0.31,0.21,-0.10,-0.01
4,North Harbour,0.25,0.16,-0.09,0.02
5,Hawke's Bay,0.22,0.15,-0.07,0.00
6,Auckland,0.11,0.01,-0.10,-0.02
7,Wellington,0.05,0.05,0.00,0.01
8,Otago,-0.03,-0.07,-0.04,-0.05
9,Tasman,-0.04,0.00,0.04,0.05
10,Counties Manukau,-0.12,-0.09,0.03,0.06
11,Taranaki,-0.13,-0.12,0.00,-0.05
12,Northland,-0.30,-0.22,0.07,0.00
13,Southland,-0.46,-0.18,0.28,0.01
14,Manawatu,-0.62,-0.20,0.42,0.04
