rk,team,str,ofs,dfs,sos
1,Stormers,0.90,0.30,-0.59,-0.02
2,Bath,0.65,0.36,-0.29,0.11
3,Exeter Chiefs,0.54,0.17,-0.38,0.12
4,Saracens,0.51,0.34,-0.17,0.11
5,Stade Toulousain,0.41,0.33,-0.08,0.00
6,Glasgow Warriors,0.38,0.03,-0.35,0.02
7,Edinburgh,0.34,0.10,-0.24,0.02
8,Ulster,0.34,0.25,-0.09,0.05
9,Munster,0.33,0.11,-0.22,0.09
10,Bristol,0.33,0.21,-0.11,0.11
11,Sale Sharks,0.28,0.20,-0.09,0.18
12,Stade Francais Paris,0.23,0.18,-0.05,-0.02
13,Northampton Saints,0.20,0.28,0.08,0.15
14,Connacht,0.20,-0.04,-0.24,0.03
15,Montpellier,0.17,-0.08,-0.25,-0.03
16,Cardiff Rugby,0.15,0.00,-0.16,-0.02
17,La Rochelle,0.15,0.08,-0.07,0.04
18,RC Toulonnais,0.11,0.14,0.03,0.01
19,Bordeaux Begles,0.07,0.15,0.08,0.00
20,Leicester Tigers,0.07,0.08,0.01,0.17
21,Section Paloise,0.06,0.06,0.01,-0.04
22,Leinster,0.02,-0.01,-0.03,0.09
23,Ospreys,-0.01,-0.04,-0.03,-0.02
24,Clermont,-0.08,0.07,0.15,0.03
25,Lions,-0.09,-0.01,0.07,0.01
26,Harlequins,-0.09,-0.01,0.08,0.19
27,Aviron Bayonnais,-0.11,0.05,0.16,0.00
28,Benetton,-0.16,-0.07,0.09,0.03
29,Gloucester,-0.18,-0.11,0.07,0.15
30,Racing 92,-0.20,-0.06,0.14,0.04
31,Bulls,-0.21,0.04,0.25,0.11
32,Sharks,-0.22,-0.08,0.13,0.07
33,Lyon,-0.22,-0.08,0.14,0.00
34,Castres Olympique,-0.23,-0.20,0.03,0.01
35,Scarlets,-0.25,-0.21,0.04,0.02
36,Zebre,-0.41,-0.24,0.17,0.05
37,Cheetahs,-0.50,-0.20,0.30,-0.08
38,USA Perpignan,-0.59,-0.41,0.17,-0.01
39,Newcastle Red Bulls,-0.61,-0.38,0.23,0.20
40,Montauban,-0.67,-0.18,0.49,-0.11
41,Dragons,-0.69,-0.42,0.26,0.04
42,Black Lion,-0.93,-0.50,0.43,-0.04
