BEGIN
CREATE TABLE
INSERT 0 45
 rk |         team         |  str  |  ofs  |  dfs  |  sos  
----+----------------------+-------+-------+-------+-------
  1 | Leinster             |  0.62 |  0.33 | -0.30 |  0.08
  2 | Munster              |  0.35 |  0.05 | -0.31 |  0.11
  3 | Ulster               |  0.33 |  0.12 | -0.21 |  0.11
  4 | Stade Toulousain     |  0.33 |  0.11 | -0.22 |  0.01
  5 | La Rochelle          |  0.32 |  0.07 | -0.25 |  0.00
  6 | Stormers             |  0.27 |  0.15 | -0.12 |  0.08
  7 | Exeter Chiefs        |  0.24 |  0.14 | -0.10 | -0.01
  8 | Stade Francais Paris |  0.19 | -0.02 | -0.21 | -0.04
  9 | Sale Sharks          |  0.18 |  0.07 | -0.11 | -0.01
 10 | Bulls                |  0.18 |  0.20 |  0.02 |  0.10
 11 | Glasgow Warriors     |  0.15 |  0.08 | -0.07 |  0.04
 12 | Connacht             |  0.13 |  0.06 | -0.07 |  0.11
 13 | Sharks               |  0.11 |  0.13 |  0.02 |  0.11
 14 | Leicester Tigers     |  0.08 |  0.05 | -0.03 | -0.02
 15 | Edinburgh            |  0.06 |  0.03 | -0.03 |  0.04
 16 | Cardiff Rugby        |  0.06 |  0.05 | -0.01 |  0.01
 17 | London Irish         |  0.05 |  0.03 | -0.01 | -0.03
 18 | Harlequins           |  0.05 |  0.09 |  0.05 | -0.01
 19 | RC Toulonnais        |  0.05 | -0.06 | -0.10 | -0.06
 20 | US Oyonnax           |  0.04 |  0.05 |  0.00 |  0.14
 21 | Racing 92            |  0.04 |  0.12 |  0.08 |  0.00
 22 | Benetton             |  0.00 |  0.04 |  0.04 |  0.01
 23 | Section Paloise      |  0.00 | -0.05 | -0.05 | -0.04
 24 | Bordeaux Begles      | -0.01 | -0.12 | -0.11 | -0.01
 25 | Bristol              | -0.01 | -0.01 |  0.00 | -0.05
 26 | Saracens             | -0.01 |  0.09 |  0.10 | -0.02
 27 | Scarlets             | -0.02 |  0.00 |  0.01 |  0.03
 28 | Montpellier          | -0.04 | -0.01 |  0.03 |  0.01
 29 | Northampton Saints   | -0.04 |  0.11 |  0.15 |  0.02
