BEGIN
CREATE TABLE
INSERT 0 43
 rk |         team         |  str  |  ofs  |  dfs  |  sos  
----+----------------------+-------+-------+-------+-------
  1 | Leinster             |  0.58 |  0.32 | -0.26 |  0.03
  2 | Exeter Chiefs        |  0.51 |  0.20 | -0.31 |  0.01
  3 | La Rochelle          |  0.51 |  0.16 | -0.35 |  0.07
  4 | Munster              |  0.46 |  0.15 | -0.31 |  0.03
  5 | Stade Toulousain     |  0.42 |  0.23 | -0.19 |  0.11
  6 | Racing 92            |  0.37 |  0.22 | -0.15 |  0.07
  7 | Bordeaux Begles      |  0.37 |  0.17 | -0.21 |  0.09
  8 | Ulster               |  0.35 |  0.21 | -0.13 |  0.02
  9 | Clermont             |  0.32 |  0.29 | -0.03 |  0.09
 10 | Lyon                 |  0.27 |  0.14 | -0.13 |  0.07
 11 | Bristol              |  0.27 |  0.11 | -0.16 |  0.03
 12 | Sale Sharks          |  0.26 |  0.07 | -0.18 |  0.02
 13 | RC Toulonnais        |  0.16 |  0.07 | -0.08 |  0.08
 14 | Stade Francais Paris |  0.14 |  0.12 | -0.02 |  0.06
 15 | Harlequins           |  0.10 |  0.24 |  0.14 |  0.07
 16 | Connacht             |  0.07 |  0.08 |  0.01 |  0.07
 17 | Leicester Tigers     |  0.05 |  0.05 |  0.00 |  0.00
 18 | Ospreys              |  0.03 | -0.06 | -0.10 | -0.06
 19 | Northampton Saints   |  0.03 |  0.04 |  0.01 |  0.06
 20 | Cardiff Blues        | -0.01 | -0.13 | -0.12 | -0.04
 21 | Montpellier          | -0.01 | -0.05 | -0.04 |  0.07
 22 | Bulls                | -0.02 | -0.02 |  0.00 | -0.29
 23 | Section Paloise      | -0.03 |  0.09 |  0.12 |  0.06
 24 | Wasps                | -0.05 |  0.02 |  0.08 |  0.01
 25 | Castres Olympique    | -0.07 |  0.00 |  0.06 |  0.07
 26 | Biarritz Olympique   | -0.11 | -0.21 | -0.10 | -0.24
 27 | Glasgow Warriors     | -0.12 | -0.08 |  0.04 |  0.02
 28 | Gloucester           | -0.12 | -0.03 |  0.09 |  0.09
 29 | Scarlets             | -0.12 | -0.11 |  0.02 | -0.02
 30 | CA Brive             | -0.13 | -0.05 |  0.08 |  0.06
 31 | London Irish         | -0.15 | -0.04 |  0.11 | -0.04
 32 | Bath                 | -0.17 | -0.01 |  0.17 |  0.00
 33 | Benetton             | -0.18 | -0.09 |  0.09 | -0.09
 34 | Stormers             | -0.19 | -0.03 |  0.16 | -0.22
 35 | Newcastle Falcons    | -0.21 | -0.12 |  0.09 |  0.04
 36 | Aviron Bayonnais     | -0.24 | -0.09 |  0.15 |  0.07
 37 | Edinburgh            | -0.26 | -0.23 |  0.03 |  0.05
 38 | Dragons              | -0.29 | -0.13 |  0.16 |  0.05
 39 | Sharks               | -0.32 | -0.09 |  0.23 | -0.21
 40 | Worcester Warriors   | -0.41 | -0.24 |  0.17 |  0.06
 41 | Lions                | -0.42 | -0.13 |  0.29 | -0.17
 42 | Zebre                | -0.61 | -0.32 |  0.29 |  0.01
 43 | Agen                 | -1.03 | -0.55 |  0.48 |  0.14
(43 rows)

 rk |         team         |  str  |  ofs  |  dfs  |  sos  
