rk,team,str,ofs,dfs,sos
1,Austin Gilgronis,0.79,0.24,-0.55,0.08
2,LA Giltinis,0.45,0.14,-0.31,0.10
3,New England Free Jacks,0.32,0.12,-0.21,-0.05
4,San Diego Legion,0.30,0.25,-0.05,0.05
5,Seattle Seawolves,0.28,0.14,-0.14,0.06
6,Houston SaberCats,0.09,0.08,-0.01,0.03
7,Rugby ATL,0.04,-0.01,-0.05,-0.02
8,New York,-0.01,0.00,0.01,0.01
9,Utah Warriors,-0.05,0.03,0.08,0.08
10,Old Glory DC,-0.16,0.10,0.26,-0.02
11,NOLA Gold,-0.19,-0.05,0.14,0.03
12,Chicago Hounds,-0.54,-0.29,0.26,-0.07
13,Toronto Arrows,-0.64,-0.37,0.27,0.03
14,Dallas Jackals,-0.69,-0.36,0.34,0.11
