rk,team,str,ofs,dfs,sos
1,Storm,0.97,0.42,-0.55,-0.06
2,Panthers,0.92,0.22,-0.71,-0.07
3,Eels,0.48,0.15,-0.33,-0.05
4,Rabbitohs,0.38,0.31,-0.07,-0.01
5,Roosters,0.25,0.16,-0.09,0.01
6,Sea Eagles,0.24,0.22,-0.02,0.02
7,Sharks,-0.15,-0.09,0.07,0.03
8,Dragons,-0.15,-0.10,0.06,-0.02
9,Raiders,-0.19,-0.10,0.09,0.06
10,Warriors,-0.19,-0.07,0.12,0.06
11,Titans,-0.19,0.02,0.21,-0.01
12,Wests Tigers,-0.25,0.03,0.27,0.05
13,Knights,-0.44,-0.31,0.13,0.06
14,Broncos,-0.47,-0.21,0.26,0.07
15,Cowboys,-0.53,-0.18,0.35,0.04
16,Bulldogs,-0.71,-0.42,0.29,0.08
