Round Number,Date,Location,Home Team,Away Team,Result
1,03/07/2020 19:05,Suncorp Stadium,Reds,Waratahs,32 - 26
1,04/07/2020 19:15,GIO Stadium,Brumbies,Rebels,31 - 23
2,10/07/2020 19:05,Brookvale Oval,Rebels,Reds,18 - 18
2,11/07/2020 19:15,SCG,Waratahs,Force,23 - 14
3,17/07/2020 19:05,Suncorp Stadium,Reds,Force,31 - 24
3,18/07/2020 19:15,ANZ Stadium,Waratahs,Brumbies,23 - 24
4,24/07/2020 19:05,SCG,Waratahs,Rebels,
4,25/07/2020 19:15,Leichhardt Oval,Force,Brumbies,
5,31/07/2020 19:05,HBF Park,Force,Rebels,
5,01/08/2020 19:15,GIO Stadium,Brumbies,Reds,
6,07/08/2020 19:05,AAMI Park,Rebels,Brumbies,
6,08/08/2020 19:15,TBA,Waratahs,Reds,
7,14/08/2020 19:05,HBF Park,Force,Waratahs,
7,15/08/2020 19:15,Suncorp Stadium,Reds,Rebels,
8,21/08/2020 19:05,HBF Park,Force,Reds,
8,22/08/2020 19:15,GIO Stadium,Brumbies,Waratahs,
9,28/08/2020 19:05,GIO Stadium,Brumbies,Force,
9,29/08/2020 19:15,TBA,Rebels,Waratahs,
10,04/09/2020 19:05,AAMI Park,Rebels,Force,
10,05/09/2020 19:15,Suncorp Stadium,Reds,Brumbies,
Qualifying Final,12/09/2020 09:00,TBA,To be announced,To be announced,
Final,19/09/2020 09:00,TBA,To be announced,To be announced,
