rk,team,str,ofs,dfs,sos
1,Crusaders,0.61,0.27,-0.33,0.00
2,Queensland Reds,0.39,0.25,-0.14,-0.12
3,Blues,0.33,0.11,-0.22,0.04
4,Sharks,0.27,0.09,-0.18,-0.03
5,Jaguares,0.26,0.13,-0.13,0.00
6,Brumbies,0.22,0.11,-0.10,-0.11
7,Stormers,0.13,-0.10,-0.23,-0.02
8,Hurricanes,0.10,0.11,0.01,0.09
9,Reds,0.08,0.07,-0.01,-0.08
10,Chiefs,0.05,0.10,0.04,0.09
11,Highlanders,0.02,0.11,0.09,0.10
12,Bulls,0.00,-0.01,-0.01,0.02
13,Rebels,-0.08,-0.03,0.05,-0.08
14,Lions,-0.36,-0.08,0.28,0.05
15,Waratahs,-0.49,-0.24,0.25,0.00
16,Force,-0.69,-0.53,0.16,0.00
17,Sunwolves,-0.83,-0.33,0.50,0.05
