rk,team,str,ofs,dfs,sos
1,New Zealand,4.22,2.33,-1.88,3.51
2,Ireland,4.20,2.09,-2.11,3.42
3,South Africa,4.14,2.06,-2.08,3.56
4,France,4.00,2.13,-1.87,3.51
5,Scotland,3.74,1.89,-1.85,3.43
6,England,3.56,1.83,-1.73,3.58
7,Wales,3.45,1.80,-1.65,3.59
8,Argentina,3.42,1.83,-1.59,3.48
9,Fiji,3.38,1.81,-1.58,2.91
10,Australia,3.35,1.80,-1.55,3.74
11,Samoa,3.08,1.51,-1.57,2.87
12,Italy,3.00,1.70,-1.30,3.44
13,Japan,2.88,1.62,-1.26,2.56
14,United Arab Emirates,2.76,1.16,-1.60,0.21
15,United Arab Emirates,2.76,1.16,-1.60,0.21
16,Georgia,2.75,1.27,-1.48,2.08
17,Qatar,2.59,1.22,-1.38,0.42
18,Tonga,2.51,1.44,-1.08,2.78
19,Portugal,2.31,1.29,-1.02,1.16
20,USA,2.07,1.17,-0.90,2.11
21,Uruguay,1.75,0.82,-0.93,1.71
22,Botswana,1.73,0.95,-0.77,-0.75
23,Romania,1.57,0.91,-0.66,1.82
24,Kazakhstan,1.48,1.15,-0.33,0.59
25,Spain,1.44,0.86,-0.58,1.59
26,Chile,1.44,0.83,-0.61,1.29
27,Iran,1.38,0.95,-0.43,0.41
28,Namibia,1.35,0.82,-0.53,1.13
29,Russia,1.28,0.78,-0.51,1.61
30,India,1.20,0.15,-1.06,-0.29
31,Canada,1.20,0.71,-0.49,2.16
32,Uzbekistan,1.19,0.47,-0.72,0.71
33,Hong Kong,1.15,0.70,-0.44,1.01
34,Hong Kong China,1.15,0.70,-0.44,1.01
35,Zimbabwe,0.95,0.59,-0.36,0.39
36,Slovakia,0.86,-0.73,-1.59,-3.31
37,Peru,0.85,0.10,-0.76,-1.43
38,Cook Islands,0.79,0.46,-0.33,1.46
39,Mongolia,0.69,0.34,-0.35,0.31
40,Netherlands,0.63,0.50,-0.14,0.17
41,Korea,0.56,0.13,-0.42,1.31
42,Algeria,0.46,0.23,-0.23,-0.49
43,Cayman Islands,0.41,0.30,-0.11,-0.58
44,West Germany,0.38,0.32,-0.06,0.86
45,Germany,0.38,0.32,-0.06,0.86
46,Germany,0.38,0.32,-0.06,0.86
47,Papua New Guinea,0.36,0.25,-0.11,0.49
48,Lebanon,0.27,-0.21,-0.48,0.63
49,Belgium,0.27,0.03,-0.24,0.95
50,Poland,0.21,0.25,0.04,-0.06
51,Solomon Islands,0.18,0.07,-0.11,0.29
52,Kenya,0.18,0.27,0.09,0.43
53,Trinidad & Tobago,0.12,0.29,0.17,-0.06
54,Brazil,0.12,0.17,0.05,1.00
55,Switzerland,0.08,0.17,0.10,-0.38
56,Barbados,-0.01,0.22,0.23,0.12
57,Madagascar,-0.01,0.16,0.17,0.51
58,Cote D'Ivoire,-0.13,-0.11,0.02,-0.11
59,Uganda,-0.20,-0.07,0.13,0.13
60,Mexico,-0.38,-0.14,0.24,-0.38
61,Czechia,-0.40,0.01,0.40,-0.75
62,Czech Republic,-0.40,0.01,0.40,-0.75
63,Senegal,-0.43,-0.05,0.38,0.10
64,Jordan,-0.45,-0.62,-0.17,0.94
65,Paraguay,-0.47,-0.18,0.29,0.13
66,Vanuatu,-0.51,-0.14,0.37,0.27
67,Ghana,-0.62,-0.08,0.54,0.12
68,Croatia,-0.65,-0.30,0.35,-1.27
69,Lithuania,-0.70,-0.15,0.54,-0.73
70,Sweden,-0.74,-0.18,0.56,-0.84
71,Cameroon,-0.78,-0.44,0.34,-2.38
72,Tunisia,-0.90,-0.54,0.36,0.55
73,Ukraine,-0.97,-0.44,0.53,-0.21
74,Burkina Faso,-1.03,-0.30,0.72,-0.30
75,Costa Rica,-1.04,-0.96,0.08,0.85
76,Malaysia,-1.19,-0.56,0.62,0.73
77,Zambia,-1.24,-0.82,0.42,0.35
78,Israel,-1.27,-0.73,0.54,-1.67
79,Thailand,-1.35,-0.48,0.87,0.71
80,Pakistan,-1.46,-0.93,0.53,0.66
81,Latvia,-1.58,-0.57,1.02,-1.68
82,Luxembourg,-1.64,-0.94,0.70,-2.17
83,Kyrgyzstan,-1.73,-0.88,0.85,0.24
84,Eswatini,-1.73,-0.99,0.75,1.73
85,Swaziland,-1.73,-0.99,0.75,1.73
86,Cyprus,-1.75,-0.75,0.99,-1.88
87,Malta,-1.76,-1.04,0.72,-1.18
88,Moldova,-1.78,-0.98,0.80,-0.52
89,Colombia,-1.88,-0.97,0.92,0.01
90,Hungary,-1.98,-0.96,1.01,-1.93
91,Bulgaria,-2.20,-0.93,1.27,-2.55
92,Serbia,-2.30,-1.17,1.13,-2.39
93,Finland,-2.34,-1.20,1.13,-3.00
94,Denmark,-2.35,-1.11,1.24,-2.75
95,Austria,-2.50,-0.93,1.57,-2.46
96,Bangladesh,-2.80,-1.22,1.58,-1.42
97,Slovenia,-2.82,-1.49,1.33,-1.93
98,Andorra,-2.93,-1.51,1.42,-1.94
99,Bosnia & Herzegovina,-3.33,-1.51,1.82,-2.49
100,Turkey,-3.36,-1.66,1.70,-2.81
101,Burundi,-3.72,-2.12,1.60,-0.90
102,Norway,-3.83,-2.34,1.50,-2.69
103,Nepal,-4.05,-2.36,1.69,-0.80
104,Kosovo,-4.28,-2.20,2.08,-3.12
105,Montenegro,-4.37,-2.34,2.03,-3.25
106,Estonia,-7.93,-5.10,2.83,-2.83
