date,event,city,site,team,e_p,opponent,e_p,e_d
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Australia,17.5,Argentina,16.8,0.7
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Australia,10.6,South Africa,19.9,-9.4
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Canada,29.8,Jamaica,6.9,22.9
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Canada,19.2,Wales,12.9,6.3
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,England,16.5,United States,19.3,-2.8
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Germany,22.1,Wales,12.3,9.8
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Germany,14.6,Kenya,19.1,-4.5
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Ireland,11.6,Argentina,19.9,-8.3
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Japan,21.8,Jamaica,9.4,12.4
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Kenya,22.4,Samoa,13.9,8.5
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Scotland,15.1,England,15.9,-0.7
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,South Africa,23.7,Ireland,7.0,16.6
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,home,Spain,26.9,Canada,12.6,14.3
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,home,Spain,37.0,Japan,9.2,27.7
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,home,Spain,21.3,Kenya,15.8,5.6
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,United States,18.0,France,18.8,-0.8
2022-01-30,HSBC World Rugby Sevens Series 2022 - Seville,Seville,neutral,Wales,14.5,Samoa,21.1,-6.7
