date,event,city,site,team,e_p,opponent,e_p
2015-09-20,Rugby World Cup 2015,London,neutral,New Zealand,38.6,Argentina,15.4
2015-09-20,Rugby World Cup 2015,Brighton,neutral,Samoa,27.7,United States,16.2
2015-09-20,Rugby World Cup 2015,Cardiff,home,Wales,52.3,Uruguay,6.6
2015-09-23,Rugby World Cup 2015,Cardiff,neutral,Australia,35.2,Fiji,17.5
2015-09-23,Rugby World Cup 2015,London,neutral,France,26.1,Romania,9.0
2015-09-23,Rugby World Cup 2015,Gloucester,neutral,Scotland,21.9,Japan,18.1
2015-09-24,Rugby World Cup 2015,London,neutral,New Zealand,85.5,Namibia,8.7
2015-09-25,Rugby World Cup 2015,Gloucester,neutral,Argentina,25.0,Georgia,14.2
2015-09-26,"2016 European Nations Cup, Division 1B",Sweden?,home,Sweden,8.9,Belgium,39.7
2015-09-26,Rugby World Cup 2015,London,home,England,23.5,Wales,15.1
2015-09-26,Rugby World Cup 2015,Leeds,neutral,Italy,22.5,Canada,17.2
2015-09-26,Rugby World Cup 2015,Birmingham,neutral,South Africa,30.4,Samoa,13.9
2015-09-27,Rugby World Cup 2015,Birmingham,neutral,Australia,57.5,Uruguay,7.5
2015-09-27,Rugby World Cup 2015,London,neutral,Ireland,32.9,Romania,7.7
2015-09-27,Rugby World Cup 2015,Leeds,neutral,Scotland,28.7,United States,14.8
2015-09-29,Rugby World Cup 2015,Exeter,neutral,Tonga,45.1,Namibia,15.3
2015-10-01,Rugby World Cup 2015,Milton Keynes,neutral,France,32.6,Canada,10.5
2015-10-01,Rugby World Cup 2015,Cardiff,home,Wales,32.0,Fiji,15.4
2015-10-02,Rugby World Cup 2015,Cardiff,neutral,New Zealand,39.9,Georgia,9.1
2015-10-03,"2016 European Nations Cup, Division 2D",Bulgaria?,home,Bulgaria,17.0,Norway,16.1
2015-10-03,"2016 European Nations Cup, Division 2D",Finland?,home,Finland,17.9,Bosnia and Herzegovina,40.3
2015-10-03,Rugby World Cup 2015,London,home,England,23.0,Australia,18.1
2015-10-03,Rugby World Cup 2015,Milton Keynes,neutral,Samoa,21.1,Japan,19.8
2015-10-03,Rugby World Cup 2015,Newcastle upon Tyne,neutral,South Africa,27.7,Scotland,14.4
